agency_name,stop_id,ZDEr_ID_REF_A,ID_LINE
CSO,StopPoint:23:101,13740,C00271
CSO,StopPoint:23:40,13696,C00270
CSO,StopPoint:23:27,423023,C00270
CSO,StopPoint:23:287,13870,C00270
CSO,StopPoint:23:91,13731,C00269
CSO,StopPoint:23:294,13875,C00270
CSO,StopPoint:23:42,13698,C00270
CSO,StopPoint:23:49,13702,C00270
CSO,StopPoint:23:78,423031,C00269
CSO,StopPoint:23:1023,14184,C00285
CSO,StopPoint:23:567,14032,C00286
CSO,StopPoint:23:457,13958,C00284
CSO,StopPoint:23:461,13962,C00284
CSO,StopPoint:23:907,14129,C00285
CSO,StopPoint:23:463,13964,C00285
CSO,StopPoint:23:1035,411648,C00286
CSO,StopPoint:23:1036,411651,C00286
CSO,StopPoint:23:587,14045,C00286
CSO,StopPoint:23:324,423090,C00274
CSO,StopPoint:23:325,423089,C00274
CSO,StopPoint:23:1128,23073,C00273
CSO,StopPoint:23:145,13766,C00273
CSO,StopPoint:23:641,14068,C00273
CSO,StopPoint:23:38,13513,C00272
CSO,StopPoint:23:1128,23073,C00274
CSO,StopPoint:23:328,13535,C00274
CSO,StopPoint:23:295,13876,C00272
CSO,StopPoint:23:43,13699,C00272
CSO,StopPoint:23:235,13828,C00271
CSO,StopPoint:23:11,423026,C00271
CSO,StopPoint:23:12,423025,C00271
CSO,StopPoint:23:240,13833,C00271
CSO,StopPoint:23:30,13690,C00271
CSO,StopPoint:23:288,13871,C00271
CSO,StopPoint:23:286,13547,C00271
CSO,StopPoint:23:27,423023,C00271
CSO,StopPoint:23:115,8709,C00271
CSO,StopPoint:23:1134,23074,C00271
CSO,StopPoint:23:507,13997,C00279
CSO,StopPoint:23:491,13984,C00279
CSO,StopPoint:23:151,13772,C00279
CSO,StopPoint:23:512,14002,C00279
CSO,StopPoint:23:397,13915,C00279
CSO,StopPoint:23:152,13773,C00279
CSO,StopPoint:23:509,13999,C00279
CSO,StopPoint:23:495,13988,C00279
CSO,StopPoint:23:522,14010,C00276
CSO,StopPoint:23:1151,41730,C00276
CSO,StopPoint:23:900,14126,C00275
CSO,StopPoint:23:151,13772,C00276
CSO,StopPoint:23:497,13990,C00276
CSO,StopPoint:23:555,423109,C00276
CSO,StopPoint:23:154,5705,C00276
CSO,StopPoint:23:8,13676,C00275
CSO,StopPoint:23:1152,41731,C00276
CSO,StopPoint:23:552,14027,C00275
CSO,StopPoint:23:1079,20192,C00275
CSO,StopPoint:23:325,423089,C00275
CSO,StopPoint:23:1076,17591,C00275
CSO,StopPoint:23:337,13381,C00275
CSO,StopPoint:23:326,13387,C00275
CSO,StopPoint:23:173,423081,C00275
CSO,StopPoint:23:330,423098,C00275
CSO,StopPoint:23:172,423080,C00275
CSO,StopPoint:23:171,423079,C00275
CSO,StopPoint:23:175,13438,C00275
CSO,StopPoint:23:1065,14195,C00279
CSO,StopPoint:23:98,13737,C00278
CSO,StopPoint:23:121,13753,C00278
CSO,StopPoint:23:582,14040,C00278
CSO,StopPoint:23:1066,14196,C00279
CSO,StopPoint:23:69,13711,C00278
CSO,StopPoint:23:1107,14183,C00278
CSO,StopPoint:23:456,13957,C00278
CSO,StopPoint:23:576,14037,C00278
CSO,StopPoint:23:427,13938,C00278
CSO,StopPoint:23:658,9261,C00276
