MonitoringRef_ZDE,reflex_lda_id,reflex_lda_nom,reflex_zdl_id,reflex_zdl_nom,reflex_zde_id,reflex_zde_nom,gtfs_stop_id,Lineref,gtfs_line_name,codifligne_line_id,codifligne_line_externalcode,destination_code,codifligne_network_name,gtfs_agency,opendata_date,Dispo,reflex_zde_x,reflex_zde_y,xy,
STIF:StopPoint:Q:10123:,67047,Lycée - Clinique Sainte Marie / Osny Lycee,46799,Lycée - Clinique Sainte Marie,10123,Lyc.Cli.St Marie,StopPoint:40:431,STIF:Line::C00764:,34 Nord,C00764,059440035:34Nord,-,STIVO,STIVO,2017-01-03,1,632218.3,6886488.0,49.0746592193, 2.0723090751
STIF:StopPoint:Q:10126:,67037,Lycee Paul Emile Victor / Stade Chri. Léon,418843,Réservoir,10126,Réservoir,StopPoint:40:533,STIF:Line::C00764:,34 Nord,C00764,059440035:34Nord,-,STIVO,STIVO,2017-01-03,1,632080.6,6886275.5,49.0727341222, 2.0704588603
STIF:StopPoint:Q:11564:,63551,Burospace,52896,Burospace,11564,Burospace,StopPoint:80:17,STIF:Line::C00049:,42,C00049,004004042:42,-,Phébus,Phébus,2017-01-03,1,642349.9,6852233.5,48.7676255191, 2.21562166363
STIF:StopPoint:Q:12667:,63695,Echangeur,42875,Echangeur,12667,Echangeur,StopPoint:80:58,STIF:Line::C00049:,42,C00049,004004042:42,-,Phébus,Phébus,2017-01-03,1,639339.787,6853555.109,48.7792353104, 2.17448145846
STIF:StopPoint:Q:12675:,63680,Pointe Ouest,44454,Pointe Ouest,12675,Pointe Ouest,StopPoint:80:164,STIF:Line::C00049:,42,C00049,004004042:42,-,Phébus,Phébus,2017-01-03,1,639682.296,6853402.327,48.7778934024, 2.17916390414
STIF:StopPoint:Q:12676:,63680,Pointe Ouest,44454,Pointe Ouest,12676,Pointe Ouest,StopPoint:80:165,STIF:Line::C00049:,42,C00049,004004042:42,-,Phébus,Phébus,2017-01-03,1,639682.321,6853405.325,48.7779203668, 2.17916382023
STIF:StopPoint:Q:12677:,63681,Zone Aéronautique,45080,Zone Aéronautique,12677,Zone Aéronautique,StopPoint:80:215,STIF:Line::C00049:,42,C00049,004004042:42,-,Phébus,Phébus,2017-01-03,1,639967.44,6853437.0,48.7782318246, 2.18303913942
STIF:StopPoint:Q:12678:,63681,Zone Aéronautique,45080,Zone Aéronautique,12678,Zone Aéronautique,StopPoint:80:216,STIF:Line::C00049:,42,C00049,004004042:42,-,Phébus,Phébus,2017-01-03,1,639937.56,6853449.0,48.7783369638, 2.18263085226
STIF:StopPoint:Q:12679:,63672,Route Militaire,44716,Route Militaire,12679,Route Militaire,StopPoint:80:181,STIF:Line::C00049:,42,C00049,004004042:42,-,Phébus,Phébus,2017-01-03,1,640747.134,6853341.427,48.777444381, 2.19366224463
STIF:StopPoint:Q:12680:,63672,Route Militaire,44716,Route Militaire,12680,Route Militaire,StopPoint:80:182,STIF:Line::C00049:,42,C00049,004004042:42,-,Phébus,Phébus,2017-01-03,1,640737.233,6853352.504,48.7775430912, 2.19352597754
